Item,ID,BQ,Size,Vol,ED,REF
DB  ,1,0000,1,0250,1223,4001027LR
TB  ,2,0000,1,0250,1223,4001027LR
ALT ,3,0000,1,0400,1223,4001757NR
AST ,4,0000,1,0400,1223,4001787NR
UREA,5,0000,1,0400,1123,4001519NR
AMY ,6,0000,1,0400,1023,4001716NR
Mg  ,7,0000,2,0200,1023,4001641LR
GLU ,8,0000,1,0800,0923,4001321NR
GLU ,8,0000,1,0800,1123,4001321NR
GGT ,9,0000,1,0400,0923,4001705NR
LDG ,10,0000,1,0400,1123,4001806NR
ALP ,11,0000,1,0400,1123,4001701NR
TG  ,12,0000,1,2500,0823,4001
CRE ,13,0000,1,0800,1123,4001621NR
TP  ,14,0000,1,0800,1123,4001948NR
ALB ,15,0000,1,0800,1223,4001008NR
UA  ,16,0000,1,0800,0823,4001110NR
Na  ,18,0000,1,2500,0823,4001
CHOL,19,0000,1,0800,1023,4001211NR
CK  ,20,0000,1,0400,1223,4001856NR
Ca  ,22,0000,2,2500,0823,4001
Fe  ,23,0001,2,0100,0723,4001608LR
LDL ,24,0000,1,2500,0823,4001
P   ,25,0000,2,0200,1223,4001631LR
HDL ,27,0000,1,2500,0823,4001
K   ,28,0000,1,2500,0823,4001
LIP ,29,0000,2,0096,0823,4001453NR
CRP ,33,0000,1,0144,0223,RP7413
PAMY,36,0000,2,0150,0124,MY7361
CRP ,43,0000,1,2500,0823,4001
AMYP,44,0000,2,0050,0823,4001
